Entity,Code,Year,Type,Value
Africa,,2020,Miscellaneous,3.186198
Africa,,2020,Alcoholic beverages,29.44491
Africa,,2020,Animal fats,13.664671
Africa,,2020,Vegetable oils,238.65082
Africa,,2020,Oilcrops,76.920265
Africa,,2020,Fish and seafood,19.175898
Africa,,2020,Sugar crops,8.415775
Africa,,2020,Sugar & sweeteners,144.7254
Africa,,2020,Starchy roots,415.07043
Africa,,2020,"Meat, other",4.5997977
Africa,,2020,"Meat, sheep and goat",11.853373
Africa,,2020,"Meat, pig",10.993392
Africa,,2020,"Meat, poultry",25.390327
Africa,,2020,"Meat, beef",28.94364
Africa,,2020,Eggs,8.27373
Africa,,2020,Milk,66.312004
Africa,,2020,Nuts,5.0012245
Africa,,2020,Fruit,114.68782
Africa,,2020,Vegetables,48.228504
Africa,,2020,Pulses,99.58883
Africa,,2020,Cereals,
Africa,,2020,Other,
Africa,,2020,Barley,20.087889
Africa,,2020,Maize,373.29022
Africa,,2020,Rice,220.76053
Africa,,2020,Wheat,351.69598
Africa,,2021,Miscellaneous,3.423069
Africa,,2021,Alcoholic beverages,29.856062
Africa,,2021,Animal fats,14.0036125
Africa,,2021,Vegetable oils,243.0812
Africa,,2021,Oilcrops,72.65616
Africa,,2021,Fish and seafood,18.679804
Africa,,2021,Sugar crops,8.054124
Africa,,2021,Sugar & sweeteners,149.22688
Africa,,2021,Starchy roots,416.27808
Africa,,2021,"Meat, other",4.5007744
Africa,,2021,"Meat, sheep and goat",11.655616
Africa,,2021,"Meat, pig",11.402818
Africa,,2021,"Meat, poultry",27.359966
Africa,,2021,"Meat, beef",28.24719
Africa,,2021,Eggs,7.7344155
Africa,,2021,Milk,65.29243
Africa,,2021,Nuts,5.7253532
Africa,,2021,Fruit,114.23982
Africa,,2021,Vegetables,47.061497
Africa,,2021,Pulses,98.96143
Africa,,2021,Cereals,
Africa,,2021,Other,
Africa,,2021,Barley,21.916609
Africa,,2021,Maize,367.99997
Africa,,2021,Rice,227.4353
Africa,,2021,Wheat,353.37787
Africa (FAO),,2020,Miscellaneous,3
Africa (FAO),,2020,Alcoholic beverages,29
Africa (FAO),,2020,Animal fats,14
Africa (FAO),,2020,Vegetable oils,239
Africa (FAO),,2020,Oilcrops,77
Africa (FAO),,2020,Fish and seafood,19
Africa (FAO),,2020,Sugar crops,7
Africa (FAO),,2020,Sugar & sweeteners,145
Africa (FAO),,2020,Starchy roots,415
Africa (FAO),,2020,"Meat, other",4.6
Africa (FAO),,2020,"Meat, sheep and goat",11.85
Africa (FAO),,2020,"Meat, pig",10.99
Africa (FAO),,2020,"Meat, poultry",25.39
Africa (FAO),,2020,"Meat, beef",28.94
Africa (FAO),,2020,Eggs,8
Africa (FAO),,2020,Milk,66
Africa (FAO),,2020,Nuts,5
Africa (FAO),,2020,Fruit,115
Africa (FAO),,2020,Vegetables,48
Africa (FAO),,2020,Pulses,100
Africa (FAO),,2020,Cereals,
Africa (FAO),,2020,Other,
Africa (FAO),,2020,Barley,20.09
Africa (FAO),,2020,Maize,369.9
Africa (FAO),,2020,Rice,220.76
Africa (FAO),,2020,Wheat,351.7
Africa (FAO),,2021,Miscellaneous,3
Africa (FAO),,2021,Alcoholic beverages,30
Africa (FAO),,2021,Animal fats,14
Africa (FAO),,2021,Vegetable oils,243
Africa (FAO),,2021,Oilcrops,73
Africa (FAO),,2021,Fish and seafood,19
Africa (FAO),,2021,Sugar crops,6
Africa (FAO),,2021,Sugar & sweeteners,149
Africa (FAO),,2021,Starchy roots,416
