Region,Code,Year,Type,Value
Africa,,2020,Miscellaneous,3
Africa,,2020,Alcoholic beverages,29
Africa,,2020,Animal fats,14
Africa,,2020,Vegetable oils,239
Africa,,2020,Oilcrops,77
Africa,,2020,Fish and seafood,19
Africa,,2020,Sugar crops,7
Africa,,2020,Sugar & sweeteners,145
Africa,,2020,Starchy roots,415
Africa,,2020,"Meat, other",4.6
Africa,,2020,"Meat, sheep and goat",11.85
Africa,,2020,"Meat, pig",10.99
Africa,,2020,"Meat, poultry",25.39
Africa,,2020,"Meat, beef",28.94
Africa,,2020,Eggs,8
Africa,,2020,Milk,66
Africa,,2020,Nuts,5
Africa,,2020,Fruit,115
Africa,,2020,Vegetables,48
Africa,,2020,Pulses,100
Africa,,2020,Cereals,
Africa,,2020,Other,
Africa,,2020,Barley,20.09
Africa,,2020,Maize,369.9
Africa,,2020,Rice,220.76
Africa,,2020,Wheat,351.7
Africa,,2021,Miscellaneous,3
Africa,,2021,Alcoholic beverages,30
Africa,,2021,Animal fats,14
Africa,,2021,Vegetable oils,243
Africa,,2021,Oilcrops,73
Africa,,2021,Fish and seafood,19
Africa,,2021,Sugar crops,6
Africa,,2021,Sugar & sweeteners,149
Africa,,2021,Starchy roots,416
Africa,,2021,"Meat, other",4.5
Africa,,2021,"Meat, sheep and goat",11.66
Africa,,2021,"Meat, pig",11.4
Africa,,2021,"Meat, poultry",27.36
Africa,,2021,"Meat, beef",28.25
Africa,,2021,Eggs,8
Africa,,2021,Milk,65
Africa,,2021,Nuts,5.73
Africa,,2021,Fruit,114
Africa,,2021,Vegetables,47
Africa,,2021,Pulses,99
Africa,,2021,Cereals,
Africa,,2021,Other,
Africa,,2021,Barley,21.92
Africa,,2021,Maize,364.7
Africa,,2021,Rice,227.43
Africa,,2021,Wheat,353.38
Americas,,2020,Miscellaneous,4
Americas,,2020,Alcoholic beverages,102
Americas,,2020,Animal fats,83
Americas,,2020,Vegetable oils,528
Americas,,2020,Oilcrops,45
Americas,,2020,Fish and seafood,23
Americas,,2020,Sugar crops,3
Americas,,2020,Sugar & sweeteners,457
Americas,,2020,Starchy roots,114
Americas,,2020,"Meat, other",2.99
